Data,Cod.ContaContabil,Valor
8/1/2017,11.02.00001,-75.65 
8/1/2017,11.02.00001,-33.03 
8/1/2017,11.02.00001,"-2,534.40 "
8/1/2017,11.02.00001,-392.75 
8/1/2017,11.02.00001,-50.83 
9/1/2017,11.02.00001,-75.65 
9/1/2017,11.02.00001,-33.03 
9/1/2017,11.02.00001,"-2,534.40 "
9/1/2017,11.02.00001,-392.75 
9/1/2017,11.02.00001,-50.83 
10/1/2017,11.02.00001,-75.65 
10/1/2017,11.02.00001,-33.03 
10/1/2017,11.02.00001,"-2,534.40 "
10/1/2017,11.02.00001,-392.75 
10/1/2017,11.02.00001,-50.83 
11/1/2017,11.02.00001,-75.65 
11/1/2017,11.02.00001,-33.03 
11/1/2017,11.02.00001,"-2,534.40 "
11/1/2017,11.02.00001,-392.75 
11/1/2017,11.02.00001,-50.83 
12/1/2017,11.02.00001,-75.65 
12/1/2017,11.02.00001,-33.03 
12/1/2017,11.02.00001,"-2,534.40 "
12/1/2017,11.02.00001,-392.75 
12/1/2017,11.02.00001,-50.83 
1/1/2018,11.02.00001,-75.65 
1/1/2018,11.02.00001,-33.03 
1/1/2018,11.02.00001,"-2,534.40 "
1/1/2018,11.02.00001,-392.75 
1/1/2018,11.02.00001,-50.83 
2/1/2018,11.02.00001,-75.65 
2/1/2018,11.02.00001,-33.03 
2/1/2018,11.02.00001,"-2,534.40 "
2/1/2018,11.02.00001,-392.75 
2/1/2018,11.02.00001,-50.83 
3/1/2018,11.02.00001,-75.65 
3/1/2018,11.02.00001,-33.03 
3/1/2018,11.02.00001,"-2,534.40 "
3/1/2018,11.02.00001,-392.75 
3/1/2018,11.02.00001,"-1,027.98 "
3/1/2018,11.02.00001,-83.33 
3/1/2018,11.02.00001,-50.83 
4/1/2018,11.02.00001,-75.65 
4/1/2018,11.02.00001,-33.03 
4/1/2018,11.02.00001,"-2,534.40 "
4/1/2018,11.02.00001,-392.75 
4/1/2018,11.02.00001,"-1,027.98 "
4/1/2018,11.02.00001,-83.33 
4/1/2018,11.02.00001,-50.83 
5/1/2018,11.02.00001,-75.65 
5/1/2018,11.02.00001,-33.03 
5/1/2018,11.02.00001,"-2,534.40 "
5/1/2018,11.02.00001,-392.75 
5/1/2018,11.02.00001,"-1,027.98 "
5/1/2018,11.02.00001,-83.33 
5/1/2018,11.02.00001,-50.83 
6/1/2018,11.02.00001,-75.65 
6/1/2018,11.02.00001,-33.03 
6/1/2018,11.02.00001,"-2,534.40 "
6/1/2018,11.02.00001,-392.75 
6/1/2018,11.02.00001,"-1,027.98 "
6/1/2018,11.02.00001,-83.33 
6/1/2018,11.02.00001,-50.83 
7/1/2018,11.02.00001,-75.65 
7/1/2018,11.02.00001,-33.03 
