Data,ID_Veiculo,KM Percorridos,ValorAbastecimento,ValorManutencao,CustoFixo,CustoTotal
1/2017,2025,412,R$ 915.39,R$ 401.72,"R$ 2,638.17","R$ 3,955.28"
1/2017,2035,307,R$ 40.51,R$ 17.78,R$ 119.42,R$ 177.70
1/2017,2045,674,R$ 916.91,R$ 365.48,"R$ 2,963.91","R$ 4,246.29"
1/2017,2055,470,R$ 209.60,R$ 90.69,R$ 710.79,"R$ 1,011.08"
1/2017,2065,616,"R$ 1,003.43",R$ 384.44,"R$ 2,779.90","R$ 4,167.76"
1/2017,2075,845,"R$ 2,103.44","R$ 1,059.63","R$ 8,818.26","R$ 11,981.33"
1/2017,2085,634,R$ 172.67,R$ 65.49,R$ 650.48,R$ 888.63
1/2017,2095,423,R$ 459.29,R$ 164.75,"R$ 1,661.81","R$ 2,285.84"
1/2017,2105,384,"R$ 2,028.08",R$ 919.71,"R$ 4,976.39","R$ 7,924.18"
1/2017,2115,553,R$ 199.09,R$ 89.03,R$ 629.45,R$ 917.57
1/2017,2125,550,R$ 329.44,R$ 167.45,"R$ 1,153.90","R$ 1,650.79"
1/2017,2135,151,R$ 197.94,R$ 104.72,R$ 835.13,"R$ 1,137.79"
1/2017,2145,500,R$ 340.83,R$ 134.53,R$ 856.18,"R$ 1,331.54"
1/2017,2155,929,"R$ 10,572.49","R$ 4,466.61","R$ 29,853.72","R$ 44,892.82"
1/2017,2165,456,R$ 363.47,R$ 158.75,R$ 866.66,"R$ 1,388.88"
1/2017,2175,505,R$ 434.87,R$ 171.65,"R$ 1,753.46","R$ 2,359.98"
1/2017,2185,647,R$ 450.53,R$ 195.85,"R$ 1,200.41","R$ 1,846.78"
1/2017,2195,615,R$ 398.04,R$ 180.50,"R$ 1,019.63","R$ 1,598.18"
1/2017,2205,175,R$ 28.72,R$ 12.90,R$ 91.34,R$ 132.96
1/2017,2215,406,R$ 478.86,R$ 203.27,"R$ 1,318.26","R$ 2,000.39"
1/2017,2225,605,R$ 665.60,R$ 324.88,"R$ 1,738.11","R$ 2,728.58"
1/2017,2235,463,R$ 274.61,R$ 112.17,"R$ 1,030.00","R$ 1,416.78"
1/2017,2245,1079,"R$ 4,185.60","R$ 1,978.76","R$ 12,686.90","R$ 18,851.26"
1/2017,2255,808,"R$ 1,908.34",R$ 768.16,"R$ 7,657.46","R$ 10,333.95"
1/2017,2265,234,R$ 331.23,R$ 142.63,"R$ 1,035.24","R$ 1,509.10"
1/2017,2275,429,R$ 95.57,R$ 34.11,R$ 336.81,R$ 466.49
1/2017,2285,502,R$ 219.88,R$ 82.98,R$ 506.93,R$ 809.78
1/2017,2295,451,R$ 878.27,R$ 466.71,"R$ 3,093.88","R$ 4,438.85"
1/2017,2305,706,"R$ 1,066.25",R$ 435.51,"R$ 3,749.14","R$ 5,250.89"
1/2017,2315,348,R$ 642.51,R$ 261.17,"R$ 2,212.46","R$ 3,116.13"
1/2017,2325,506,R$ 677.74,R$ 276.82,"R$ 1,639.34","R$ 2,593.89"
1/2017,2335,737,R$ 839.88,R$ 338.07,"R$ 2,168.49","R$ 3,346.44"
1/2017,2345,558,R$ 200.04,R$ 82.91,R$ 809.51,"R$ 1,092.46"
1/2017,2355,423,R$ 969.77,R$ 501.81,"R$ 3,185.32","R$ 4,656.90"
1/2017,2365,686,"R$ 1,027.89",R$ 510.87,"R$ 2,857.70","R$ 4,396.46"
1/2017,2375,265,R$ 260.08,R$ 111.99,R$ 755.41,"R$ 1,127.48"
1/2017,2385,512,R$ 60.86,R$ 29.84,R$ 248.99,R$ 339.68
1/2017,2395,486,R$ 306.50,R$ 140.30,"R$ 1,278.27","R$ 1,725.06"
1/2017,2405,547,"R$ 1,504.43",R$ 795.92,"R$ 4,670.39","R$ 6,970.74"
1/2017,2415,680,R$ 728.19,R$ 277.60,"R$ 2,789.64","R$ 3,795.43"
1/2017,2425,415,R$ 145.01,R$ 56.12,R$ 578.43,R$ 779.56
1/2017,2435,377,R$ 46.42,R$ 19.52,R$ 189.63,R$ 255.56
1/2017,2445,986,"R$ 2,122.73",R$ 817.34,"R$ 6,453.12","R$ 9,393.19"
1/2017,2455,223,R$ 215.40,R$ 90.56,R$ 684.22,R$ 990.18
1/2017,2465,420,R$ 146.03,R$ 63.78,R$ 539.51,R$ 749.32
1/2017,2475,503,R$ 449.39,R$ 167.90,"R$ 1,214.42","R$ 1,831.71"
1/2017,2485,134,R$ 66.71,R$ 33.00,R$ 190.13,R$ 289.84
1/2017,2495,331,"R$ 1,294.10",R$ 643.18,"R$ 4,079.12","R$ 6,016.40"
1/2017,2505,409,R$ 301.26,R$ 142.43,R$ 876.80,"R$ 1,320.48"
1/2017,2515,717,R$ 638.47,R$ 342.28,"R$ 2,835.39","R$ 3,816.14"
1/2017,2525,248,R$ 917.86,R$ 402.80,"R$ 2,239.08","R$ 3,559.74"
1/2017,2535,204,R$ 149.79,R$ 77.51,R$ 646.94,R$ 874.25
1/2017,2545,774,"R$ 1,242.74",R$ 601.09,"R$ 3,954.35","R$ 5,798.18"
1/2017,2555,567,R$ 382.25,R$ 169.34,"R$ 1,545.74","R$ 2,097.33"
1/2017,2565,692,"R$ 1,159.15",R$ 437.48,"R$ 3,071.87","R$ 4,668.50"
1/2017,2575,450,R$ 163.90,R$ 61.86,R$ 536.93,R$ 762.68
1/2017,2585,478,R$ 21.80,R$ 10.26,R$ 87.12,R$ 119.18
1/2017,2595,352,R$ 201.53,R$ 104.29,R$ 690.35,R$ 996.17
1/2017,2605,372,R$ 604.45,R$ 272.84,"R$ 1,765.13","R$ 2,642.42"
1/2017,2615,479,R$ 361.79,R$ 147.77,"R$ 1,068.02","R$ 1,577.57"
