CodFuncionario,Genero,Idade,Tipo de Trabalho,Unidade,Centro de Custo,Data Admissao,Situação,Tipo Pagamento,Motivo Demissão, Salário ,Data Demissão
33624,Masculino,70,Contrato,Wellington,Pesquisa,8/4/1982,Inativo,Mensalista,Sem Justa Causa," R$ 5,166.67 ",3/28/1986
23596,Masculino,64,Tempo Integral,Hamilton,Pesquisa,11/9/1982,Ativo,Mensalista,Sem Justa Causa," R$ 9,416.67 ",
24052,Masculino,67,Contrato,Dunedin,Manutenção,4/5/1983,Ativo,Mensalista,Sem Justa Causa," R$ 3,666.67 ",
33916,Feminino,57,Tempo Integral,Hamilton,Jurídico,6/7/1983,Ativo,Horista,Pedido de Demissão," R$ 6,916.67 ",
23424,Masculino,55,Tempo Integral,Auckland,RH,4/13/1984,Ativo,Horista,Sem Justa Causa," R$ 6,583.33 ",
22310,Feminino,61,Tempo Integral,Hamilton,Vendas e Marketing,7/8/1984,Ativo,Mensalista,Sem Justa Causa," R$ 7,583.33 ",
33568,Masculino,50,Tempo Integral,Wellington,Manutenção,8/28/1984,Ativo,Mensalista,Sem Justa Causa," R$ 3,166.67 ",
22390,Feminino,66,Tempo Integral,Wellington,Gerente Executivo,9/29/1984,Ativo,Mensalista,Sem Justa Causa," R$ 13,416.67 ",
22394,Feminino,66,Tempo Integral,Hamilton,Gerente Executivo,10/21/1984,Inativo,Mensalista,Sem Justa Causa," R$ 38,416.67 ",3/25/1988
23592,Masculino,64,Contrato,Auckland,Financeiro,10/25/1984,Ativo,Horista,Sem Justa Causa," R$ 14,250.00 ",
33350,Feminino,57,Tempo Integral,Manukau,Operacional,7/23/1985,Ativo,Mensalista,Sem Justa Causa," R$ 2,583.33 ",
33264,Feminino,62,Tempo Integral,Hamilton,Gerente Executivo,8/12/1986,Ativo,Mensalista,Sem Justa Causa," R$ 27,333.33 ",
23706,Masculino,61,Tempo Integral,Hamilton,Financeiro,9/23/1986,Ativo,Mensalista,Sem Justa Causa," R$ 9,750.00 ",
24048,Masculino,65,Tempo Integral,Hamilton,Operacional,9/27/1986,Inativo,Mensalista,Sem Justa Causa," R$ 4,500.00 ",12/20/1989
22324,Feminino,64,Tempo Integral,Auckland,Manutenção,10/30/1986,Ativo,Horista,Sem Justa Causa," R$ 3,833.33 ",
33610,Feminino,61,Tempo Parcial,Auckland,Vendas e Marketing,2/26/1987,Ativo,Horista,Sem Justa Causa," R$ 7,583.33 ",
33850,Masculino,50,Tempo Parcial,Auckland,Financeiro,4/5/1987,Inativo,Mensalista,Pedido de Demissão," R$ 10,250.00 ",6/9/1990
22746,Masculino,66,Tempo Parcial,Manukau,Gerente Executivo,5/7/1987,Inativo,Horista,Sem Justa Causa," R$ 37,583.33 ",7/8/1990
23288,Feminino,56,Tempo Parcial,Wellington,Financeiro,7/7/1987,Ativo,Mensalista,Sem Justa Causa," R$ 12,666.67 ",
27456,Feminino,54,Tempo Integral,Christchurch,Jurídico,9/28/1987,Ativo,Mensalista,Sem Justa Causa," R$ 9,000.00 ",
23276,Masculino,61,Tempo Parcial,Dunedin,Manutenção,9/8/1988,Inativo,Mensalista,Sem Justa Causa," R$ 3,500.00 ",9/22/1991
22646,Masculino,67,Tempo Integral,Manukau,Pesquisa,9/18/1988,Inativo,Mensalista,Sem Justa Causa," R$ 6,666.67 ",10/1/1991
22732,Masculino,62,Tempo Parcial,Auckland,Vendas e Marketing,10/12/1988,Inativo,Mensalista,Sem Justa Causa," R$ 3,916.67 ",10/23/1991
33760,Feminino,48,Tempo Integral,Auckland,Manutenção,4/5/1989,Inativo,Horista,Pedido de Demissão," R$ 3,916.67 ",3/28/1992
23686,Masculino,62,Tempo Parcial,Auckland,Gerente Executivo,6/16/1989,Inativo,Mensalista,Sem Justa Causa," R$ 34,750.00 ",6/1/1992
33336,Masculino,60,Tempo Integral,Auckland,RH,7/18/1989,Inativo,Horista,Sem Justa Causa," R$ 6,166.67 ",6/30/1992
24294,Masculino,62,Tempo Parcial,Auckland,Jurídico,10/3/1989,Ativo,Mensalista,Sem Justa Causa," R$ 7,333.33 ",
33160,Masculino,46,Tempo Parcial,Dunedin,Manutenção,4/28/1990,Ativo,Mensalista,Sem Justa Causa," R$ 3,666.67 ",
24056,Masculino,60,Contrato,Dunedin,RH,9/14/1990,Ativo,Horista,Sem Justa Causa," R$ 6,166.67 ",
24058,Masculino,78,Tempo Parcial,Manukau,RH,10/17/1990,Inativo,Horista,Sem Justa Causa," R$ 6,750.00 ",8/14/1993
33410,Masculino,43,Tempo Integral,Dunedin,Pesquisa,11/13/1990,Inativo,Mensalista,Sem Justa Causa," R$ 8,666.67 ",9/8/1993
24076,Masculino,64,Tempo Parcial,Auckland,Vendas e Marketing,1/17/1991,Inativo,Mensalista,Sem Justa Causa," R$ 4,833.33 ",11/5/1993
31820,Masculino,60,Tempo Integral,Nelson,RH,6/18/1991,Ativo,Mensalista,Sem Justa Causa," R$ 6,750.00 ",
22802,Feminino,87,Tempo Integral,Wellington,Jurídico,7/9/1991,Ativo,Mensalista,Sem Justa Causa," R$ 8,333.33 ",
17834,Masculino,49,Tempo Integral,Auckland,Vendas e Marketing,11/19/1991,Ativo,Mensalista,Sem Justa Causa," R$ 4,500.00 ",
23364,Masculino,68,Tempo Parcial,Wellington,TI,9/24/1992,Inativo,Horista,Sem Justa Causa," R$ 9,916.67 ",5/13/1995
